run_id,model_type,seed,num_ants,mean_arrest_duration,pheromones.pheromone_max_timestep,pheromones.pheromone_radius_multiplier,pheromones.pheromone_threshold,experiment,pheromones.pheromone_decay_rate,pheromones.pheromone_deposition_rate,final_clustering,steady_state_clustering
93,direct,456,64,5.5,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
134,direct,456,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.9375,0.9069123675264947
134,direct,456,128,10.0,3000.0,1.5,3.0,direct_clustering_sweep,,,0.9375,0.9069123675264947
94,direct,456,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
94,direct,456,64,5.5,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
60,direct,123,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
60,direct,123,128,10.0,3000.0,1.5,1.0,direct_clustering_sweep,,,0.0,0.0
34,direct,123,64,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
34,direct,123,64,10.0,3000.0,4.0,3.0,direct_clustering_sweep,,,0.0,0.0
160,direct,789,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.921875,0.908002774445111
160,direct,789,64,5.5,3000.0,2.5,1.0,direct_clustering_sweep,,,0.921875,0.908002774445111
194,direct,789,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
194,direct,789,128,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
33,direct,123,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
33,direct,123,64,10.0,3000.0,4.0,2.5,direct_clustering_sweep,,,0.0,0.0
158,direct,789,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.953125,0.9592737702459508
158,direct,789,64,5.5,3000.0,1.5,3.0,direct_clustering_sweep,,,0.953125,0.9592737702459508
193,direct,789,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
193,direct,789,128,5.5,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
167,direct,789,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
167,direct,789,64,5.5,3000.0,4.0,4.0,direct_clustering_sweep,,,0.0,1.249750049990002e-05
151,direct,789,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
151,direct,789,64,3.0,3000.0,2.5,4.0,direct_clustering_sweep,,,0.0,0.0
169,direct,789,64,10.0,3000.0,1.5,2.5,direct_clustering_sweep,,,0.0,1.249750049990002e-05
